LGA,home_target,coverage_per_sqm,lost_coverage,initial_coverage,final_coverage,percentage_point_change,percentage_change
Stonnington,27000,26.1,1.9600000000000002,286.3,305.9,19.599999999999966,6.8
Glen Eira,28000,22.7,1.77,283.7,301.3,17.600000000000023,6.2
Boroondara,49000,30,4.09,823.2,864.1,40.89999999999998,5
Moonee Valley,25000,18.7,1.3,292.3,305.3,13,4.4
Bayside,20000,31.8,1.7600000000000002,454.2,471.9,17.69999999999999,3.9
Port Phillip,16000,17.2,0.77,219.5,227.2,7.699999999999989,3.5
Banyule,33000,27.3,2.5,899.1,924.1,25,2.8
Whitehorse,30000,28.9,2.41,870.4,894.5,24.100000000000023,2.8
Yarra,15000,18.7,0.78,315.7,323.5,7.800000000000011,2.5
Merri-bek,21000,16.2,0.95,400.3,409.7,9.399999999999977,2.3
Darebin,27000,15.9,1.2,599,610.9,11.899999999999977,2
Maribyrnong,6000,22,0.37,206.8,210.5,3.6999999999999886,1.8
Kingston,21000,27.200000000000003,1.59,924.7,940.6,15.899999999999977,1.7
Hobsons Bay,11000,18.9,0.58,366,371.7,5.699999999999989,1.6
Monash,19000,22.5,1.19,904.9,916.8,11.899999999999977,1.3
Maroondah,12000,35.699999999999996,1.19,960,971.9,11.899999999999977,1.2
Melbourne,15000,11.4,0.48,434.1,438.8,4.699999999999989,1.1
Manningham,23000,35.6,2.27,2476.6,2499.3,22.700000000000273,0.9
Brimbank,2000,6.6000000000000005,0.04,590.7,591.1,0.39999999999997726,0.1
