lga_name_2022,street_percentage,residential_percentage,reserve_percentage
Banyule,23.015418343729653,27.67016701133274,44.77907755855801
Bayside,35.61020503550906,31.207613955767165,31.134194055749347
Boroondara,37.73212155208832,30.17375070036856,45.38105652214098
Brimbank,8.389998612999825,7.041446198326211,14.212506041455807
Darebin,16.972422457369362,16.468623891059046,36.739984967977705
Glen Eira,26.526972097243657,22.489170826444937,17.17445414402407
Hobsons Bay,16.583523904469924,19.34142125446821,10.157948860701044
Kingston,18.760230401277404,27.81817034341297,33.57351347958506
Manningham,31.819097038671273,36.34960771339568,66.26866565779557
Maribyrnong,17.095844281832033,23.01160114641156,19.072004442016745
Maroondah,33.13522152472313,37.09440658123073,49.45802185690963
Melbourne,18.44343046645885,23.31699507906069,35.41970909002424
Merri-bek,15.383172835689887,16.653853385767224,29.870614658586746
Monash,22.144593065265237,22.673176691926255,44.90274600894032
Moonee Valley,13.611886066810012,19.343519973205783,26.046448652830655
Port Phillip,24.951327184622265,21.826215601803256,14.884730207373792
Stonnington,33.91583982234055,27.001899281968527,36.192077599116615
Whitehorse,29.167837322629513,29.498045104650295,52.10363406654991
Yarra,21.368966940067153,21.811967376562713,43.49860744276962
